Year,Country,Average Temp
1982,United States of America,-0.25329411764705884
1983,United States of America,0.27958823529411764
1984,United States of America,-0.011411764705882345
1985,United States of America,-0.11576470588235294
1986,United States of America,0.717235294117647
1987,United States of America,0.8520588235294118
1988,United States of America,0.4660588235294117
1989,United States of America,0.1835294117647059
1990,United States of America,0.7140588235294117
1991,United States of America,0.6508235294117647
1992,United States of America,0.2956470588235294
1993,United States of America,0.10923529411764706
1994,United States of America,0.4643529411764706
1995,United States of America,0.5692941176470587
1996,United States of America,-0.018294117647058825
1997,United States of America,0.3965294117647059
1998,United States of America,1.3068235294117645
1999,United States of America,0.7210588235294119
2000,United States of America,0.8875294117647059
2001,United States of America,0.9002941176470588
2002,United States of America,0.9897058823529413
2003,United States of America,0.9413529411764706
2004,United States of America,0.8696470588235294
2005,United States of America,1.11
2006,United States of America,1.0898823529411763
2007,United States of America,1.0436470588235294
2008,United States of America,0.15894117647058825
2009,United States of America,0.3541764705882353
2010,United States of America,0.6797647058823529
2011,United States of America,0.6724117647058823
2012,United States of America,1.3960588235294118
2013,United States of America,0.5135882352941177
2014,United States of America,0.6485294117647058
2015,United States of America,1.5286470588235292
2016,United States of America,2.0396470588235296
2017,United States of America,1.5054117647058822
2018,United States of America,1.221235294117647
2019,United States of America,1.0242941176470588
1961,Oceania,0.15341176470588236
1962,Oceania,0.10388235294117647
1963,Oceania,-0.09911764705882353
1964,Oceania,-0.10417647058823529
1965,Oceania,0.15123529411764708
1966,Oceania,-0.298764705882353
1967,Oceania,-0.07694117647058822
1968,Oceania,-0.2089411764705882
1969,Oceania,0.11876470588235295
1970,Oceania,0.049
1971,Oceania,-0.03970588235294118
1972,Oceania,0.18352941176470589
1973,Oceania,0.701
1974,Oceania,-0.3077058823529411
1975,Oceania,-0.4327647058823529
1976,Oceania,
1977,Oceania,0.15300000000000002
1978,Oceania,0.031999999999999994
1979,Oceania,0.45235294117647057
1980,Oceania,0.7572941176470589
1981,Oceania,0.4345882352941177
1982,Oceania,0.15517647058823528
1983,Oceania,0.5198823529411765
1984,Oceania,-0.1526470588235294
1985,Oceania,0.28723529411764703
1986,Oceania,0.32364705882352945
1987,Oceania,0.31811764705882356
1988,Oceania,0.8616470588235294
1989,Oceania,0.1621176470588235
1990,Oceania,0.5392941176470588
1991,Oceania,0.6436470588235293
1992,Oceania,0.18217647058823527
1993,Oceania,0.37599999999999995
1994,Oceania,0.24117647058823527
1995,Oceania,0.29911764705882354
1996,Oceania,0.5391764705882354
1997,Oceania,0.34029411764705886
1998,Oceania,0.9959999999999999
1999,Oceania,0.4889411764705882
2000,Oceania,0.1914705882352941
2001,Oceania,0.3135294117647059
2002,Oceania,0.7843529411764706
2003,Oceania,0.7727058823529411
2004,Oceania,0.6011176470588235
2005,Oceania,1.121529411764706
2006,Oceania,0.5728235294117647
2007,Oceania,0.8202941176470588
2008,Oceania,0.5397647058823528
2009,Oceania,0.9440588235294117
2010,Oceania,0.5941764705882353
2011,Oceania,0.21500000000000002
2012,Oceania,0.36223529411764704
2013,Oceania,1.3718823529411766
2014,Oceania,1.0906470588235293
2015,Oceania,1.0044117647058826
2016,Oceania,1.1496470588235295
2017,Oceania,1.1325882352941175
2018,Oceania,1.1327058823529415
2019,Oceania,1.4253529411764707
